INIT 1024 0 0 X
WRITE 31 3 0 OmK
WRITE 462 2 0 bR
WRITE 342 6 0 m0y3fH
WRITE 324 3 0 KXV
WRITE 514 6 0 AO5EX3
WRITE 567 9 0 NPevAj1Xi
WRITE 403 9 0 CszjTWwjo
WRITE 99 9 0 RWmW0byvT
WRITE 740 1 0 w
WRITE 450 10 0 bnNxdszF2Q
WRITE 256 6 0 96koap
WRITE 649 8 0 J0yqnyXw
WRITE 877 4 0 J0yf
WRITE 520 5 0 mlCXg
WRITE 923 8 0 LaC28fEo
WRITE 572 4 0 Onxq
WRITE 946 1 0 F
WRITE 569 2 0 xQ
WRITE 1013 3 0 Ty5
WRITE 295 6 0 nRCJYr
WRITE 271 9 0 jaslF4V0v
WRITE 662 3 0 sc6
WRITE 940 7 0 Ck34K3Y
WRITE 903 3 0 Xj1
WRITE 581 9 0 zFdkga9vZ
WRITE 850 4 0 1gYx
WRITE 470 3 0 2iQ
WRITE 637 6 0 HH0u2h
WRITE 117 8 0 WHFUsK32
WRITE 165 5 0 xFGzE
WRITE 825 4 0 rn6o
WRITE 684 3 0 S3Y
WRITE 458 4 0 N2C2
WRITE 711 2 0 EJ
WRITE 196 2 0 0c
WRITE 223 10 0 KZ1fWRrBUJ
WRITE 481 3 0 Bmr
WRITE 475 1 0 t
WRITE 64 5 0 XqN0F
WRITE 513 4 0 JyE4
WRITE 548 2 0 4X
WRITE 274 10 0 GbBDcjDMyt
WRITE 410 10 0 Gy44o9pjzg
WRITE 995 3 0 ag8
WRITE 903 1 0 b
WRITE 779 1 0 I
WRITE 642 4 0 tbY5
WRITE 37 2 0 Yj
WRITE 611 7 0 M0I9NXm
WRITE 550 8 0 R0MYdD1R
READ 684 2 1 3Y
WRITE 47 1 0 y
WRITE 247 6 0 M3jLIu
WRITE 154 2 0 tr
WRITE 397 5 0 5C68d
WRITE 717 8 0 YF9RRkLY
WRITE 369 3 0 xhp
WRITE 716 8 0 EbsiF4WD
WRITE 310 4 0 fsKC
WRITE 961 2 0 P1
WRITE 853 3 0 hCw
WRITE 540 5 0 oCdy8
WRITE 378 4 0 GB8y
WRITE 799 7 0 Hn0Mmjs
WRITE 498 1 0 a
WRITE 204 5 0 5kvWk
WRITE 2 1 0 7
WRITE 197 9 0 KqngkoVP8
WRITE 29 8 0 XvhNt29z
WRITE 335 8 0 xY7FsmmE
WRITE 333 3 0 I8R
WRITE 193 5 0 DQ5gU
WRITE 440 5 0 OObJQ
WRITE 672 6 0 4aTIlV
WRITE 415 6 0 S6hse9
WRITE 175 7 0 8AIWVmV
WRITE 247 10 2 DokwiNI5ZB
WRITE 196 1 2 a
WRITE 561 2 0 hN
WRITE 598 5 0 KIxYi
WRITE 571 1 0 X
WRITE 291 2 0 dK
WRITE 391 4 0 N5Vc
WRITE 976 5 0 bsZOG
WRITE 11 8 0 o6We9tS5
WRITE 783 10 0 jbt7M6r6sd
WRITE 450 6 10 BDMxRv
WRITE 975 1 0 B
WRITE 129 2 0 Op
WRITE 371 6 0 HD9VNA
WRITE 42 10 0 kfT21I7WpY
WRITE 366 9 0 WSQS1KMK0
WRITE 944 2 0 t4
WRITE 16 7 0 m1CbBIs
WRITE 61 1 0 4
WRITE 833 5 0 CqtdG
READ 64 2 3 0F
WRITE 686 9 0 IGjBMz7Te
WRITE 755 3 0 0AG
WRITE 632 4 0 Brfg
WRITE 820 2 0 tA
WRITE 138 9 0 qsOYHBpNX
WRITE 772 10 0 BnYDTPicFE
WRITE 948 10 0 sMKMLRfRWe
WRITE 91 3 0 UMI
WRITE 442 4 0 WTJJ
READ 458 2 2 C2
WRITE 633 3 0 9Wg
WRITE 342 7 5 CW8Dbmk
WRITE 735 5 0 Etjvn
WRITE 216 5 0 vRJdp
WRITE 525 9 0 ULyO2ab1h
WRITE 157 6 0 V34hFK
WRITE 327 4 0 JDvU
WRITE 979 2 0 AV
WRITE 326 5 0 sQuaR
WRITE 190 3 0 LUr
WRITE 504 4 0 rMmE
WRITE 103 2 0 rO
WRITE 454 2 0 kl
WRITE 584 6 0 Wyd94q
WRITE 858 3 0 ejS
